Text tags
As O
the O
head B-JOB_TITLE
of I-JOB_TITLE
security L-JOB_TITLE
at O
this O
event O
, O
it O
is O
my O
job O
to O
ensure O
the O
safety O
and O
well O
- O
being O
of O
all O
attendees O

Alexis O
is O
a O
young B-JOB_TITLE
adult L-JOB_TITLE
, O
in O
her O
mid-20 O
s O
, O
who O
works O
as O
a O
graphic B-JOB_TITLE
designer L-JOB_TITLE
at O
an O
advertising O
agency O

The O
employee O
's O
date O
of O
birth O
is O
recorded O
as O
January B-BIRTH_DATE
22 L-BIRTH_DATE
nd O
, O
1988 O

My O
name O
is O
Robert B-PERSON
Smith L-PERSON
and O
I O
am O
the O
Manager U-JOB_TITLE
of O
Internal O
Audit O
at O
GHI O
Enterprises O
. O
I O
am O
45 U-AGE
years O
old O
and O
my O
birthdate O
is O
August B-BIRTH_DATE
17 I-BIRTH_DATE
, I-BIRTH_DATE
1978 L-BIRTH_DATE
. O
My O
email O
is O
audit@ghi.com U-EMAIL
and O
my O
phone O
number O
is O
345 B-PHONE_NUMBER
- I-PHONE_NUMBER
678 I-PHONE_NUMBER
- I-PHONE_NUMBER
909 L-PHONE_NUMBER

William O
, O
I O
sent O
the O
contract O
to O
your O
work O
email O
, O
williams@company.com U-EMAIL
, O
so O
please O
let O
me O
know O
when O
you O
have O
a O
chance O
to O
review O
it O

I O
am O
the O
financial B-JOB_TITLE
analyst L-JOB_TITLE
at O
this O
company O
, O
and O
it O
is O
my O
job O
to O
evaluate O
and O
interpret O
financial O
data O
to O
inform O
business O
decisions O

As O
the O
head B-JOB_TITLE
of I-JOB_TITLE
administration L-JOB_TITLE
at O
this O
organization O
, O
I O
am O
responsible O
for O
managing O
the O
administrative O
functions O
and O
processes O
of O
the O
company O

Miss B-PERSON
Samantha L-PERSON
, O
a O
twenty O
year O
old O
college O
student O
, O
is O
studying O
psychology O
and O
hopes O
to O
become O
a O
therapist O

If O
you O
have O
any O
questions O
, O
you O
can O
email O
me O
at O
tomh@aol.com U-EMAIL
or O
call O
me O
at O
222 B-PHONE_NUMBER
- I-PHONE_NUMBER
222 I-PHONE_NUMBER
- I-PHONE_NUMBER
2222 L-PHONE_NUMBER
. O

Emma O
, O
I O
just O
sent O
you O
a O
text O
message O
with O
my O
phone O
number O
, O
it O
's O
( B-PHONE_NUMBER
567 I-PHONE_NUMBER
) I-PHONE_NUMBER
890 I-PHONE_NUMBER
- I-PHONE_NUMBER
1234 I-PHONE_NUMBER
, L-PHONE_NUMBER
can O
you O
please O
confirm O
receipt O
? O

Steven O
, O
I O
just O
sent O
you O
an O
email O
at O
stevenmoore@outlook.com U-EMAIL
with O
the O
updated O
presentation O
, O
can O
you O
please O
review O
and O
let O
me O
know O
if O
you O
have O
any O
feedback O
? U-EMAIL

The O
organization O
's O
email O
is O
contact@organization.org O
and O
the O
phone O
number O
is O
444 B-PHONE_NUMBER
- I-PHONE_NUMBER
444 I-PHONE_NUMBER
- I-PHONE_NUMBER
4444 L-PHONE_NUMBER
. O

Alexis O
, O
I O
' O
m O
not O
sure O
if O
you O
have O
my O
phone O
number O
, O
it O
's O
( B-PHONE_NUMBER
999 I-PHONE_NUMBER
) I-PHONE_NUMBER
999 I-PHONE_NUMBER
- I-PHONE_NUMBER
9999 I-PHONE_NUMBER
, L-PHONE_NUMBER
so O
please O
let O
me O
know O
if O
you O
need O
it O

I O
am O
the O
financial B-JOB_TITLE
consultant L-JOB_TITLE
at O
this O
company O
, O
and O
it O
is O
my O
role O
to O
provide O
expert O
financial O
advice O
and O
support O
to O
clients O

Maria O
, O
I O
just O
sent O
you O
an O
email O
at O
mariaanderson@hotmail.com U-EMAIL

If O
you O
need O
assistance O
, O
you O
can O
email O
me O
at O
sarahs@yahoo.com U-EMAIL
or O
call O
me O
at O
111 B-PHONE_NUMBER
- I-PHONE_NUMBER
111 I-PHONE_NUMBER
- I-PHONE_NUMBER
1111 L-PHONE_NUMBER
. O

Robert O
, O
my O
work O
email O
is O
robertsmith@company.com U-EMAIL
, O
but O
you O
can O
also O
reach O
me O
at O
my O
personal O
email O
, O
robertsmith@gmail.com U-EMAIL
, O
if O
you O
need O
to O
contact O
me O
after O
hours O

As O
the O
head B-JOB_TITLE
of I-JOB_TITLE
financial I-JOB_TITLE
analysis L-JOB_TITLE
at O
this O
organization O
, O
I O
am O
responsible O
for O
evaluating O
and O
interpreting O
financial O
data O
to O
inform O
business O
decisions O

I O
am O
the O
financial B-JOB_TITLE
coach L-JOB_TITLE
at O
this O
firm O
, O
and O
it O
is O
my O
role O
to O
help O
clients O
achieve O
their O
financial O
goals O
through O
education O
and O
guidance O

Jessica O
, O
I O
just O
sent O
you O
a O
text O
message O
with O
my O
phone O
number O
, O
it O
's O
( B-PHONE_NUMBER
222 I-PHONE_NUMBER
) I-PHONE_NUMBER
222 I-PHONE_NUMBER
- I-PHONE_NUMBER
2222 I-PHONE_NUMBER
, L-PHONE_NUMBER
can O
you O
please O
confirm O
receipt O
? O

A O
senior O
citizen O
in O
his O
late O
70 U-AGE
s O
, O
William O
enjoys O
spending O
his O
days O
gardening O
and O
playing O
chess O
, O
and O
is O
an O
active O
member O
of O
the O
community O

Megan O
is O
a O
young B-JOB_TITLE
woman I-JOB_TITLE
in L-JOB_TITLE
her O
early O
20 U-AGE
s O
, O
who O
is O
pursuing O
her O
degree O
in O
psychology O

The O
employee O
was O
